dis_id,dis_type,event_name,location,start_year,start_month,start_day,end_year,end_month,end_day
2012-0060-USA,Storm,NA,"Alabama, Tennessee, Illinois, Kentucky, Indiana, Ohio, Georgia, Florida, Mississippi, North Carolina, Virginia provinces",2012,3,2,2012,3,4
2012-0234-USA,Storm,NA,District of Columbia province,2012,6,30,2012,6,30
2012-0612-USA,Storm,NA,"Oklahoma, Kansas, Minnesota, Texas, Pennsylvania, New York provinces",2012,5,25,2012,5,30
2012-0613-USA,Storm,NA,"Colorado, Wyoming provinces",2012,6,6,2012,6,7
2012-0614-USA,Storm,NA,"Texas, New Mexico provinces",2012,6,11,2012,6,13
2012-0615-USA,Storm,NA,"Ohio, Minnesota, Pennsylvania, Michigan, Wisconsin provinces",2012,7,2,2012,7,4
2012-0616-USA,Storm,NA,"Missouri, Pennsylvania, Virginia, Arkansas, Oklahoma, Maryland, New York provinces",2012,9,7,2012,9,9
2012-0010-USA,Storm,NA,"Jefferson, Chilton districts (Alabama province)",2012,1,22,2012,1,23
2012-0055-USA,Storm,NA,"Nebraska, Kansas, Missouri, Illinois, Indiana, Kentucky provinces",2012,2,28,2012,2,29
2012-0122-USA,Storm,NA,"Dallas, Tarrant districts (Texas province)",2012,4,2,2012,4,3
2012-0156-USA,Storm,NA,"Oklahoma, Kansas, Iowa, Nebraska, South Dakota, Minnesota provinces",2012,4,14,2012,4,15
2013-0334-USA,Storm,NA,"Colorado, Wyoming, Montana provinces",2013,8,2,2013,8,3
2013-0142-USA,Storm,NA,"Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, New York, New Jersey, Pennsylvania provinces",2013,5,18,2013,5,22
2013-0211-USA,Storm,NA,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia provinces",2013,6,12,2013,6,13
2013-0013-USA,Storm,NA,"Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Colorado, Kansas, Montana, New Mexico, Oklahoma, Texas, Wyoming provinces",2013,1,29,2013,1,30
2012-0410-USA,Storm,Hurricane Sandy,"New York, New Jersey, Pennsylvania, Connecticut, Ohio, Delaware, Rhode Island, Maryland, Massachusetts, Maine, New Hampshire, North Carolina, Vermont, Virginia, District of Columbia, West Virginia provinces",2012,10,28,2012,10,28
2012-0313-USA,Storm,Hurricane Isaac,"Mississippi, Louisiana provinces",2012,8,28,2012,8,29
2012-0486-USA,Storm,NA,"Wisconsin, Iowa, Nebraska, Kansas provinces",2012,12,19,2012,12,21
2012-0493-USA,Storm,NA,"Texas, Louisiana, Alabama, Mississippi, Arkansas, Indiana, Pennsylvania, Virginia, New York, New Jersey provinces",2012,12,25,2012,12,27
2012-0611-USA,Storm,NA,"Oregon, Washington provinces",2012,1,18,2012,1,23
2012-0503-USA,Storm,NA,"Ohio, Virginia, Maryland, West Virginia, District of Columbia, Illinois, Indiana, Kentucky, New Jersey, North Carolina, South Carolina provinces",2012,6,28,2012,7,2
2012-0601-USA,Storm,NA,"Missouri, Illinois, Kentucky, Texas, Indiana provinces",2012,4,28,2012,4,29
2012-0177-USA,Flood,NA,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington districts (Florida province), Alabama, Mississippi, Louisiana provinces",2012,6,9,2012,6,12
2012-0176-USA,Storm,Tropical storm Debby,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington, Brevard, Citrus, Hardee, Hernando, Hillsborough, Indian River, Lake, Manatee, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Volusia districts",2012,6,22,2012,6,27
2012-0214-USA,Extreme temperature,NA,"District of Columbia, Iowa, Virginia, North Carolina provinces",2012,6,30,2012,7,19
2012-0232-USA,Wildfire,Waldo Canyon Fire,"Colorado Springs city (El Paso district, Colorado province)",2012,6,23,2012,7,10
2012-0542-USA,Wildfire,NA,"Cleveland, Creek, Oklahoma, Payne districts (Oklahoma province)",2012,8,3,2012,8,8
2013-0354-USA,Flood,NA,"Lafayette, Lyons, Longmont towns (Boulder district, Colorado province), Larimer, El Paso, Broomfield districts (Colorado province), New Mexico province",2013,9,12,2013,9,19
2013-0183-USA,Storm,NA,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia provinces",2013,5,15,2013,5,17
2013-0439-USA,Storm,NA,"Illinois, Indiana, Kentucky, Ohio, Michigan, Wisconsin, Missouri provinces",2013,11,16,2013,11,18
2013-0579-USA,Storm,NA,"Texas, Oklahoma, Louisiana provinces",2013,2,24,2013,2,25
2013-0054-USA,Storm,NA,"Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania provinces",2013,2,8,2013,2,9
2013-0472-USA,Storm,NA,"Oklahoma, Texas, California, New Mexico, Arizona provinces",2013,11,24,2013,11,24
2013-0118-USA,Storm,NA,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin provinces",2013,4,17,2013,4,19
2013-0184-USA,Storm,NA,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania provinces",2013,5,26,2013,6,6
2013-0055-USA,Storm,NA,"South Dakota, North Dakota, Nebraska, Minnesota, Alabama, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia provinces",2013,2,9,2013,2,11
2013-0550-USA,Storm,Cleon and Dion,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont, Virginia, West Virginia provinces",2013,12,1,2013,12,9
2013-0528-USA,Extreme temperature,NA,"Michigan, Ohio, New York, Vermont, Maine, Kansas, Iowa, Texas, Wisconsin, Illinois, Minnesota, Arkansas, Louisiana, Mississippi, Kentucky provinces",2013,12,19,2013,12,22
2013-0117-USA,Storm,NA,"California, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia provinces",2013,4,7,2013,4,11
2013-0548-USA,Storm,NA,"Louisiana, South Carolina, Mississippi provinces",2013,3,18,2013,3,19
2013-0254-USA,Flood,NA,"Cleveland, Lincoln, Catawba districts (North Carolina province), Pennsylvania province",2013,7,27,2013,7,28
2013-0277-USA,Flood,NA,"Missouri, Kansas, Tennessee, Arkansas, Oklahoma provinces",2013,8,5,2013,8,12
2013-0286-USA,Flood,NA,"San Antonio town (Bexar district, Texas province)",2013,5,25,2013,5,28
2013-0291-USA,Flood,NA,"Iowa, Michigan, Minnesota, Wisconsin provinces",2013,4,22,2013,4,29
2013-0510-USA,Flood,NA,Austin district (Texas province),2013,10,31,2013,11,10
2013-0558-USA,Flood,NA,"Nelson, Carroll districts (Kentucky province)",2013,12,22,2013,12,31
2013-0209-USA,Wildfire,NA,Los Angeles district (California province),2013,5,30,2013,6,8
2013-0210-USA,Wildfire,NA,"Black Forest area (El Paso district, Colorado province)",2013,6,6,2013,6,20
2013-0212-USA,Wildfire,NA,"Yarnell area (Yavapai district, Arizona province)",2013,6,28,2013,7,12
2013-0315-USA,Wildfire,NA,"Yosemite valley (Mariposa district, California province)",2013,8,3,2013,9,1
2013-0404-USA,Wildfire,NA,Shasta district (California province),2013,9,9,2013,9,15
2014-0009-USA,Extreme temperature,NA,"New York, Minnesota, Georgia, Maryland, Alaska, Alabama, Mississippi, Louisiana, North Carolina, South Carolina, Ohio, Indiana, Illinois, Pennsylvania, Michigan, New Jersey, Virginia, Kentucky, Missouri provinces",2014,1,5,2014,1,8
2014-0482-USA,Storm,NA,"Los Angeles, San Diego districts (California province), Oregon province",2014,12,10,2014,12,17
2014-0263-USA,Storm,NA,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, Texas, Wyoming, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, Tennessee provinces",2014,7,26,2014,7,27
2014-0126-USA,Storm,NA,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Mississippi, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Florida, Alabama, New York, New Jersey, Pennsylvania provinces",2014,4,27,2014,5,1
2014-0444-USA,Storm,NA,"Arkansas, Louisiana, Alabama, Mississippi, Kentucky, Illinois, Texas provinces",2014,10,12,2014,10,14
2014-0318-USA,Earthquake,NA,"San Francisco Bay (San Francisco district) , Napa Valley (Napa district) ; Sonoma, Solano district (California province) ; Vallejo, Mare Island cities (Solano district, California province)",2014,8,24,2014,8,24
2014-0491-USA,Flood,NA,"Orange, Mariposa, Tuolumne, Los Angeles, San Francisco, Sacaramento districts (California province)",2014,12,2,2014,12,5
2014-0192-USA,Storm,NA,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Kansas, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Arizona, Idaho, Montana, Nevada, New Mexico, Utah, Wyoming, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut provinces",2014,5,18,2014,5,23
2014-0540-USA,Storm,NA,"Blair area (Washington district, Nebraska province), Iowa, Kansas, Arkansas, Wyoming provinces",2014,6,3,2014,6,6
